ticker,name,companyCode,companyName,custodianCode,custodianName,indexTicker,indexName,indexStartDate,managerNames,establishDate,assetal,assetalName,manage,manageName,organizationform,organizationformName,investarea,investareaName,exchangemarket,exchangemarketName,assetalNet,nav,navUnit,navChange,navChange1w,navChange1m,navChange3m,navChange6m,navChange9m,navChangeYtd,navChange1y,navAnnualReturns2y,navAnnualReturns3y,navAnnualReturns5y,navAnnualReturns10y,navBeta3mJSW001,navBeta6mJSW001,navBeta9mJSW001,navBeta1yJSW001,navBeta2yJSW001,navBeta3yJSW001,navBeta5yJSW001,navBeta10yJSW001,navBeta15yJSW001,navBetaYtdJSW001,navBetaAllJSW001,navBeta2007JSW001,navBeta2015JSW001,trackingError,navBeta2008JSW001,navBeta2016JSW001,pctOfFloat,pctOfStock,stkShares,isEnd,pctOfNav
515790,华泰光伏ETF,80055334,华泰柏瑞,80001122,中国银行,'931151,光伏产业,2020-12-07,"{'30691200': '李沐阳', '30625823': '李茜'}",2020-12-07,Stock,股票,Index,传统指数型,ETF,ETF,Domestic,投资境内,SHSE,上交所上市,105.08,1.251,人民币,-5.08,10.3,13.77,--,--,--,15.92,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,1.79,--,--,0.91,--,--,--,--,--,False,--
516880,银华光伏产业ETF,80000235,银华基金,10000020,招商银行,'931151,光伏产业,2021-01-05,"{'30531104': '李宜璇', '30598400': '王帅'}",2021-01-05,Stock,股票,Index,传统指数型,ETF,ETF,Domestic,投资境内,SHSE,上交所上市,25.1,1.0465,人民币,-4.97,10.02,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0.77,--,--,--,--,--,False,--
516160,南方新能源ETF,80000220,南方基金,80001120,农业银行,'399808,中证新能,2021-01-22,{'30613046': '龚涛'},2021-01-22,Stock,股票,Index,传统指数型,ETF,ETF,Domestic,投资境内,Unlisted,未上市,20.39,1.0003,人民币,-2.09,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,False,--
164906,中国互联指数,80064562,交银施罗德,80001120,农业银行,'H11137,中国互联网(美元),2015-05-27,{'30131775': '蔡铮'},2015-05-27,Stock,股票,EnhancedIndex,增强指数型,LOF,LOF,Developed,发达市场配置,SZSE,深交所上市,19.81,2.253,人民币,-0.63,2.22,19.31,21.52,29.03,67.74,15.77,64.26,41.11,13.49,22.01,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0.3,--,--,--,--,--,False,--
513050,中概互联50ETF,80000229,易方达基金,10000020,招商银行,'H30533,中国互联网50(人民币),2017-01-04,"{'30066753': '余海燕', '30484401': '范冰'}",2017-01-04,Stock,股票,Index,传统指数型,ETF,ETF,Developed,发达市场配置,SHSE,上交所上市,77.72,2.3446,人民币,-0.83,2.24,21.4,12.65,26.73,64.36,16.89,66.47,43.49,13.26,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0.04,--,--,--,--,--,False,--
006327,易互联50联接A,80000229,易方达基金,10000020,招商银行,'H30533,中国互联网50(人民币),2019-01-18,"{'30066753': '余海燕', '30484401': '范冰'}",2019-01-18,Stock,股票,Index,传统指数型,ETFFeeder,ETF联接,Developed,发达市场配置,Unlisted,未上市,10.8,1.7789,人民币,-0.79,2.04,19.11,10.94,23.97,58.58,15.49,58.22,35.16,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0.17,--,--,--,--,--,False,--
502056,广发医疗指数(LOF)A,80000248,广发基金,80001097,北京银行,'399989,中证医疗,2020-08-26,{'30357080': '罗国庆'},2020-08-26,Stock,股票,EnhancedIndex,增强指数型,LOF,LOF,Domestic,投资境内,SHSE,上交所上市,1.67,1.5811,人民币,-3.5,5.82,15.7,20.16,--,--,13.55,--,--,--,--,--,0.99,--,--,--,--,--,--,--,--,--,1.12,--,--,0.21,--,--,--,--,--,False,--
512170,中证医疗ETF,80000250,华宝基金,80001122,中国银行,'399989,中证医疗,2019-05-20,{'30191326': '胡洁'},2019-05-20,Stock,股票,Index,传统指数型,ETF,ETF,Domestic,投资境内,SHSE,上交所上市,18.29,2.5698,人民币,-3.9,5.45,15.86,20.75,24.93,66.65,13.47,99.89,--,--,--,--,1.06,1.21,0.71,0.81,--,--,--,--,--,--,0.82,--,--,0.03,--,--,--,--,--,False,--
159828,国泰中证医疗ETF,80000224,国泰基金,10001303,华夏银行,'399989,中证医疗,2020-12-24,{'30419711': '梁杏'},2020-12-24,Stock,股票,Index,传统指数型,ETF,ETF,Domestic,投资境内,SZSE,深交所上市,5.83,1.0368,人民币,-3.86,5.46,7.98,--,--,--,7.96,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0.55,--,--,0.77,--,--,--,--,--,False,--
162412,华宝医疗指数,80000250,华宝基金,80001122,中国银行,'399989,中证医疗,2021-01-01,{'30191326': '胡洁'},2021-01-01,Stock,股票,EnhancedIndex,增强指数型,LOF,LOF,Domestic,投资境内,Unlisted,未上市,--,1.4314,人民币,-3.7,5.36,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0.13,--,--,--,--,--,False,--
